datetime,equipment_load_kwh
2010-03-01 00:00:00,1020.2
2010-03-01 01:00:00,1009.4
2010-03-01 02:00:00,1009.1
2010-03-01 03:00:00,1010.4
2010-03-01 04:00:00,1010.6
2010-03-01 05:00:00,1008.3
2010-03-01 06:00:00,1037.8
2010-03-01 07:00:00,1087.3
2010-03-01 08:00:00,1196.2
2010-03-01 09:00:00,1295.5
2010-03-01 10:00:00,1384.3
2010-03-01 11:00:00,1446.8
2010-03-01 12:00:00,1507.2
2010-03-01 13:00:00,1481.5
2010-03-01 14:00:00,1484.2
2010-03-01 15:00:00,1483.2
2010-03-01 16:00:00,1467.1
2010-03-01 17:00:00,1429.8
2010-03-01 18:00:00,1328.9
2010-03-01 19:00:00,1233.3
2010-03-01 20:00:00,1160.9
2010-03-01 21:00:00,1119.4
2010-03-01 22:00:00,1099.2
2010-03-01 23:00:00,1091.2
2010-03-02 00:00:00,1053.6
2010-03-02 01:00:00,1048.3
2010-03-02 02:00:00,1058.4
2010-03-02 03:00:00,1056.9
2010-03-02 04:00:00,1055.5
2010-03-02 05:00:00,1063.3
2010-03-02 06:00:00,1083.0
2010-03-02 07:00:00,1137.9
2010-03-02 08:00:00,1244.5
2010-03-02 09:00:00,1366.5
2010-03-02 10:00:00,1461.4
2010-03-02 11:00:00,1495.4
2010-03-02 12:00:00,1493.1
2010-03-02 13:00:00,1485.6
2010-03-02 14:00:00,1489.2
2010-03-02 15:00:00,1496.8
2010-03-02 16:00:00,1486.1
2010-03-02 17:00:00,1446.0
2010-03-02 18:00:00,1338.3
2010-03-02 19:00:00,1237.0
2010-03-02 20:00:00,1180.8
2010-03-02 21:00:00,1159.7
2010-03-02 22:00:00,1137.3
2010-03-02 23:00:00,1098.8
2010-03-03 00:00:00,1061.2
2010-03-03 01:00:00,1061.5
2010-03-03 02:00:00,1070.7
2010-03-03 03:00:00,1064.6
2010-03-03 04:00:00,1066.4
2010-03-03 05:00:00,1071.7
2010-03-03 06:00:00,1091.0
2010-03-03 07:00:00,1146.5
2010-03-03 08:00:00,1233.8
2010-03-03 09:00:00,1364.8
2010-03-03 10:00:00,1463.7
2010-03-03 11:00:00,1489.7
2010-03-03 12:00:00,1524.6
2010-03-03 13:00:00,1502.2
2010-03-03 14:00:00,1508.8
2010-03-03 15:00:00,1517.9
2010-03-03 16:00:00,1517.7
2010-03-03 17:00:00,1477.0
2010-03-03 18:00:00,1360.5
2010-03-03 19:00:00,1253.3
2010-03-03 20:00:00,1186.6
2010-03-03 21:00:00,1142.1
2010-03-03 22:00:00,1117.1
2010-03-03 23:00:00,1086.0
2010-03-04 00:00:00,1062.7
2010-03-04 01:00:00,1055.6
2010-03-04 02:00:00,1059.4
2010-03-04 03:00:00,1051.4
2010-03-04 04:00:00,1056.6
2010-03-04 05:00:00,1060.1
2010-03-04 06:00:00,1089.7
2010-03-04 07:00:00,1160.6
2010-03-04 08:00:00,1231.4
2010-03-04 09:00:00,1373.4
2010-03-04 10:00:00,1439.0
2010-03-04 11:00:00,1477.4
2010-03-04 12:00:00,1487.0
2010-03-04 13:00:00,1479.0
2010-03-04 14:00:00,1487.2
