datetime,equipment_load_kwh
2010-03-08 00:00:00,147.6154527814873
2010-03-08 01:00:00,154.44649327997527
2010-03-08 02:00:00,146.85922780264843
2010-03-08 03:00:00,145.60823880647106
2010-03-08 04:00:00,145.78494187457383
2010-03-08 05:00:00,157.05225754530122
2010-03-08 06:00:00,158.88292978093023
2010-03-08 07:00:00,173.46534901072866
2010-03-08 08:00:00,201.39218683317242
2010-03-08 09:00:00,213.57857065460638
2010-03-08 10:00:00,232.4230273228422
2010-03-08 11:00:00,237.74690566082336
2010-03-08 12:00:00,234.16279110534063
2010-03-08 13:00:00,242.34961722148535
2010-03-08 14:00:00,236.96092300212422
2010-03-08 15:00:00,233.47973217281452
2010-03-08 16:00:00,222.93770855613076
2010-03-08 17:00:00,205.9283127276857
2010-03-08 18:00:00,202.3385693763525
2010-03-08 19:00:00,181.24714870833427
2010-03-08 20:00:00,175.89253019219305
2010-03-08 21:00:00,163.0720703854723
2010-03-08 22:00:00,154.0950076836934
2010-03-08 23:00:00,153.3320377087819
2010-03-09 00:00:00,153.4584268031872
2010-03-09 01:00:00,148.87392196216464
2010-03-09 02:00:00,146.3463434880836
2010-03-09 03:00:00,147.25115595035172
2010-03-09 04:00:00,153.32938140357436
2010-03-09 05:00:00,158.3241198848136
2010-03-09 06:00:00,160.97340763305374
2010-03-09 07:00:00,181.66822038573218
2010-03-09 08:00:00,202.5883010374585
2010-03-09 09:00:00,227.3349593735826
2010-03-09 10:00:00,241.67669599098863
2010-03-09 11:00:00,237.84209428299832
2010-03-09 12:00:00,236.0777902316288
2010-03-09 13:00:00,245.95799237090526
2010-03-09 14:00:00,238.75579517635418
2010-03-09 15:00:00,232.98187361356435
2010-03-09 16:00:00,219.51764498422162
2010-03-09 17:00:00,209.97626097055635
2010-03-09 18:00:00,195.7825787302125
2010-03-09 19:00:00,179.89951611488536
2010-03-09 20:00:00,172.04752047632113
2010-03-09 21:00:00,167.092387941759
2010-03-09 22:00:00,152.8806976351935
2010-03-09 23:00:00,149.69291714869627
2010-03-10 00:00:00,148.9558630539248
2010-03-10 01:00:00,143.3822637231703
2010-03-10 02:00:00,146.13930819387545
2010-03-10 03:00:00,137.76702233262162
2010-03-10 04:00:00,146.30429955500418
2010-03-10 05:00:00,147.97809594242725
2010-03-10 06:00:00,164.93325285693885
2010-03-10 07:00:00,174.18755853960846
2010-03-10 08:00:00,196.66741010647644
2010-03-10 09:00:00,211.98594187987854
2010-03-10 10:00:00,235.61303554356803
2010-03-10 11:00:00,232.48000027363378
2010-03-10 12:00:00,234.92919172723214
2010-03-10 13:00:00,242.69042319590267
2010-03-10 14:00:00,233.07347105579683
2010-03-10 15:00:00,225.7489229205122
2010-03-10 16:00:00,209.9441705962837
2010-03-10 17:00:00,208.10308790507776
2010-03-10 18:00:00,200.75320393456087
2010-03-10 19:00:00,181.85363128197466
2010-03-10 20:00:00,168.98454749997958
2010-03-10 21:00:00,164.0580302234259
2010-03-10 22:00:00,153.55766237354004
2010-03-10 23:00:00,147.32524396708595
2010-03-11 00:00:00,149.76199960964794
2010-03-11 01:00:00,153.48561735944975
2010-03-11 02:00:00,153.9835114549607
2010-03-11 03:00:00,144.85829638111042
2010-03-11 04:00:00,139.89108642522461
2010-03-11 05:00:00,158.09996942760927
2010-03-11 06:00:00,160.4394111960637
2010-03-11 07:00:00,180.91120232834157
2010-03-11 08:00:00,195.5162352506482
2010-03-11 09:00:00,221.69277570024636
2010-03-11 10:00:00,235.4171280304998
2010-03-11 11:00:00,234.8106678469544
2010-03-11 12:00:00,235.84534874589252
2010-03-11 13:00:00,240.27344782827652
2010-03-11 14:00:00,227.0563479271238
2010-03-11 15:00:00,226.92414721491497
2010-03-11 16:00:00,221.05919151623465
2010-03-11 17:00:00,209.51117840194635
2010-03-11 18:00:00,203.53468749764633
2010-03-11 19:00:00,180.74847424190688
2010-03-11 20:00:00,176.2660852495923
2010-03-11 21:00:00,162.52475887734485
2010-03-11 22:00:00,159.74204178089175
2010-03-11 23:00:00,148.86326631396858
2010-03-12 00:00:00,148.20500378219072
2010-03-12 01:00:00,138.725285012893
2010-03-12 02:00:00,148.1172218680812
2010-03-12 03:00:00,139.57130165705072
2010-03-12 04:00:00,144.6228211505206
2010-03-12 05:00:00,163.3958424927883
2010-03-12 06:00:00,158.84182953956824
2010-03-12 07:00:00,166.92359059622342
2010-03-12 08:00:00,196.5891876196103
2010-03-12 09:00:00,215.44325860733312
2010-03-12 10:00:00,234.1167099689781
2010-03-12 11:00:00,225.02031214177794
2010-03-12 12:00:00,232.5605161381223
2010-03-12 13:00:00,229.25877459209389
2010-03-12 14:00:00,230.19763793974462
2010-03-12 15:00:00,212.0729017108081
2010-03-12 16:00:00,207.80447261731933
2010-03-12 17:00:00,207.45191477468308
2010-03-12 18:00:00,196.81497765919588
2010-03-12 19:00:00,179.23856400985696
2010-03-12 20:00:00,167.40971073931854
2010-03-12 21:00:00,157.99998893575642
2010-03-12 22:00:00,151.9615742105352
2010-03-12 23:00:00,148.3968844925875
2010-03-13 00:00:00,148.83536278063238
2010-03-13 01:00:00,141.53317037659326
2010-03-13 02:00:00,148.2153476161397
2010-03-13 03:00:00,135.47909176028475
2010-03-13 04:00:00,147.54455420832755
2010-03-13 05:00:00,144.67832391307135
2010-03-13 06:00:00,136.71099898313983
2010-03-13 07:00:00,153.26733774251153
2010-03-13 08:00:00,174.63552694080656
2010-03-13 09:00:00,186.72755042007924
2010-03-13 10:00:00,183.4627442131839
2010-03-13 11:00:00,181.52410253179968
2010-03-13 12:00:00,177.98270455062757
2010-03-13 13:00:00,186.572995371611
2010-03-13 14:00:00,181.79759933769944
2010-03-13 15:00:00,185.23967924640843
2010-03-13 16:00:00,182.29767157283672
2010-03-13 17:00:00,185.1574467087621
2010-03-13 18:00:00,177.22493232987918
2010-03-13 19:00:00,163.41699139312462
2010-03-13 20:00:00,158.64128754606585
2010-03-13 21:00:00,158.59366728551774
2010-03-13 22:00:00,153.5666524091804
2010-03-13 23:00:00,139.5349645672502
2010-03-14 00:00:00,144.97185307693982
2010-03-14 01:00:00,149.51890330076094
2010-03-14 02:00:00,144.92450260678467
2010-03-14 03:00:00,138.52775868235133
2010-03-14 04:00:00,140.86400071590433
2010-03-14 05:00:00,132.47033676929797
2010-03-14 06:00:00,146.0157116184051
2010-03-14 07:00:00,144.4711351428199
2010-03-14 08:00:00,169.43180501175246
2010-03-14 09:00:00,170.0046253669964
2010-03-14 10:00:00,173.90873577561942
2010-03-14 11:00:00,180.8005262971711
2010-03-14 12:00:00,179.2693243816027
2010-03-14 13:00:00,177.232504089418
2010-03-14 14:00:00,181.86390790249146
2010-03-14 15:00:00,168.36743544431786
2010-03-14 16:00:00,170.09918580779072
2010-03-14 17:00:00,169.0667662373962
2010-03-14 18:00:00,168.67701953639428
2010-03-14 19:00:00,162.15107230831802
2010-03-14 20:00:00,156.11863563694112
2010-03-14 21:00:00,152.2959476271854
2010-03-14 22:00:00,149.648583202828
2010-03-14 23:00:00,133.49572459183844
2010-03-15 00:00:00,142.1316953827319
2010-03-15 01:00:00,151.40371479959177
2010-03-15 02:00:00,146.03857685539126
2010-03-15 03:00:00,142.93827143004762
2010-03-15 04:00:00,148.29866727919685
2010-03-15 05:00:00,152.511820428417
2010-03-15 06:00:00,160.4066658752912
2010-03-15 07:00:00,170.83418695943766
2010-03-15 08:00:00,196.99913057564868
2010-03-15 09:00:00,210.79949739497386
2010-03-15 10:00:00,232.96751403579145
2010-03-15 11:00:00,231.9268056067371
2010-03-15 12:00:00,244.02783044308583
2010-03-15 13:00:00,236.75206420600037
2010-03-15 14:00:00,233.65989296482542
2010-03-15 15:00:00,230.8379098457829
2010-03-15 16:00:00,221.11471319858626
2010-03-15 17:00:00,197.4886042416142
2010-03-15 18:00:00,199.67004266992424
2010-03-15 19:00:00,185.19388460249002
2010-03-15 20:00:00,163.3238916172267
2010-03-15 21:00:00,160.52789588633632
2010-03-15 22:00:00,150.6957476734712
2010-03-15 23:00:00,147.03108414705673
2010-03-16 00:00:00,148.08540291067243
2010-03-16 01:00:00,140.63845776407672
2010-03-16 02:00:00,137.36666050669223
2010-03-16 03:00:00,142.35091168580095
2010-03-16 04:00:00,148.60717251134054
2010-03-16 05:00:00,141.5788729044786
2010-03-16 06:00:00,151.06622504516676
2010-03-16 07:00:00,165.48752929995436
2010-03-16 08:00:00,192.20727098204682
2010-03-16 09:00:00,225.61016059696215
2010-03-16 10:00:00,226.38179571368144
2010-03-16 11:00:00,216.8655035747745
2010-03-16 12:00:00,221.1189219433026
2010-03-16 13:00:00,234.55763952978165
2010-03-16 14:00:00,227.04098952539036
2010-03-16 15:00:00,225.36473012963643
2010-03-16 16:00:00,214.97351084083493
2010-03-16 17:00:00,206.31933381154604
2010-03-16 18:00:00,191.73176664930537
2010-03-16 19:00:00,178.22982259680055
2010-03-16 20:00:00,170.46428333004903
2010-03-16 21:00:00,160.20570719132695
2010-03-16 22:00:00,155.5193032310276
2010-03-16 23:00:00,145.81265542709886
2010-03-17 00:00:00,140.07976177041277
2010-03-17 01:00:00,137.07625090771595
2010-03-17 02:00:00,141.7324201955844
2010-03-17 03:00:00,133.51593273771152
2010-03-17 04:00:00,137.78474631960233
2010-03-17 05:00:00,135.7811676270404
2010-03-17 06:00:00,149.02052794346176
2010-03-17 07:00:00,167.74839398171062
2010-03-17 08:00:00,191.24646105756023
2010-03-17 09:00:00,209.10927585565122
2010-03-17 10:00:00,221.52383735648692
2010-03-17 11:00:00,224.87557216357825
2010-03-17 12:00:00,230.7419027479849
2010-03-17 13:00:00,231.73382301286125
2010-03-17 14:00:00,218.00279761321565
2010-03-17 15:00:00,222.15380701409146
2010-03-17 16:00:00,208.93750036103967
2010-03-17 17:00:00,206.5684431090135
2010-03-17 18:00:00,193.0408794775118
2010-03-17 19:00:00,183.11018214697762
2010-03-17 20:00:00,169.742849315993
2010-03-17 21:00:00,156.82189047975777
2010-03-17 22:00:00,153.1697490630644
2010-03-17 23:00:00,144.91963162326206
2010-03-18 00:00:00,144.13810004719943
2010-03-18 01:00:00,144.94853177499434
2010-03-18 02:00:00,142.3485986537305
2010-03-18 03:00:00,137.7552100348236
2010-03-18 04:00:00,130.52025471197493
2010-03-18 05:00:00,141.8765909827114
2010-03-18 06:00:00,155.96822745483044
2010-03-18 07:00:00,164.23855249259697
2010-03-18 08:00:00,186.8906422443296
2010-03-18 09:00:00,204.45563763632103
2010-03-18 10:00:00,226.2335278645178
2010-03-18 11:00:00,230.43665875831067
2010-03-18 12:00:00,230.53932930280232
2010-03-18 13:00:00,229.89067995498795
2010-03-18 14:00:00,222.11518977794628
2010-03-18 15:00:00,224.10032425890495
2010-03-18 16:00:00,211.711838510723
2010-03-18 17:00:00,205.8588422181909
2010-03-18 18:00:00,194.76698112839512
2010-03-18 19:00:00,183.76540431084948
2010-03-18 20:00:00,167.97444448074668
2010-03-18 21:00:00,158.2204592101979
2010-03-18 22:00:00,143.42671757636214
2010-03-18 23:00:00,139.37660039666923
2010-03-19 00:00:00,135.97965157730323
2010-03-19 01:00:00,141.11450277084643
2010-03-19 02:00:00,138.9098193241892
2010-03-19 03:00:00,132.70537734977665
2010-03-19 04:00:00,135.32147777355914
2010-03-19 05:00:00,146.19574026056614
2010-03-19 06:00:00,141.38165237497122
2010-03-19 07:00:00,159.13077002696826
2010-03-19 08:00:00,186.73189533488932
2010-03-19 09:00:00,201.9690439355009
2010-03-19 10:00:00,215.72944216836626
2010-03-19 11:00:00,214.40928025242823
2010-03-19 12:00:00,218.6730797810857
2010-03-19 13:00:00,219.09912933605966
2010-03-19 14:00:00,215.82844798364613
2010-03-19 15:00:00,215.5813225569951
2010-03-19 16:00:00,205.7912601297781
2010-03-19 17:00:00,201.70480752680297
2010-03-19 18:00:00,190.12655299206162
2010-03-19 19:00:00,170.6133472939357
2010-03-19 20:00:00,161.58332719837222
2010-03-19 21:00:00,155.40283741137588
2010-03-19 22:00:00,142.7625625440732
2010-03-19 23:00:00,140.0382713328775
2010-03-20 00:00:00,140.912631200985
2010-03-20 01:00:00,142.4401929246919
2010-03-20 02:00:00,133.59774490993448
2010-03-20 03:00:00,130.8723754915668
2010-03-20 04:00:00,130.55123458361047
2010-03-20 05:00:00,134.39691515280168
2010-03-20 06:00:00,127.47320351349538
2010-03-20 07:00:00,143.80622133920207
2010-03-20 08:00:00,157.98617548892275
2010-03-20 09:00:00,170.7255146555592
2010-03-20 10:00:00,174.1166073011135
2010-03-20 11:00:00,175.86870215647656
2010-03-20 12:00:00,173.54618581615833
2010-03-20 13:00:00,176.03932183751326
2010-03-20 14:00:00,179.57920159156828
2010-03-20 15:00:00,177.0932292004974
2010-03-20 16:00:00,170.29150913143707
2010-03-20 17:00:00,176.68061086309507
2010-03-20 18:00:00,161.68337928589585
2010-03-20 19:00:00,156.47428349945932
2010-03-20 20:00:00,153.9686594115463
2010-03-20 21:00:00,154.99458820423928
2010-03-20 22:00:00,140.3608475650086
2010-03-20 23:00:00,139.76984278033038
2010-03-21 00:00:00,135.4423002614119
