source,similarity,target,rank
74,0.003653818773713735,2,1
13,0.003675087880379735,2,2
16,0.0037021960268455167,2,3
120,0.003710043923030093,2,4
69,0.003715437886864681,2,5
24,0.0037164360949191177,2,6
4,0.0037201596076928967,2,7
75,0.003724197762443815,2,8
113,0.0037479166514695628,2,9
107,0.003758519048029374,2,10
23,0.0037598214054085366,2,11
19,0.003762108948507259,2,12
68,0.00377896705554015,2,13
72,0.003806016195100459,2,14
51,0.0038241272494987655,2,15
86,0.003830700622389438,2,16
63,0.003837658473542893,2,17
41,0.003838053592870261,2,18
82,0.003856138275641241,2,19
0,0.0038646758936586867,2,20
31,0.003875517240663373,2,21
83,0.0038763992045317552,2,22
30,0.0038764494887824075,2,23
90,0.003898727196964602,2,24
110,0.003903789974784466,2,25
27,0.003912258588820716,2,26
93,0.003913423833625362,2,27
80,0.003938598094254453,2,28
1,0.003943126526793406,2,29
37,0.00394503190071116,2,30
28,0.003960380159319432,2,31
8,0.003973007387880534,2,32
117,0.00397491370704639,2,33
34,0.003988729020176329,2,34
47,0.0039888172209080475,2,35
81,0.003990222374087193,2,36
119,0.003996766866967483,2,37
77,0.00402600962856603,2,38
29,0.0040533598390537495,2,39
45,0.004065615563371816,2,40
85,0.0041071971444627264,2,41
56,0.00412303101117828,2,42
79,0.004150445837675432,2,43
65,0.004168496567866997,2,44
14,0.004194234367402738,2,45
12,0.004229320985222662,2,46
87,0.004268545628685616,2,47
35,0.004380007688335907,2,48
5,0.00445065540288947,2,49
116,0.004823913449372053,2,50
96,0.004901894014796904,2,51
97,0.004950703575860138,2,52
48,0.004976295016970278,2,53
64,0.004993510847330684,2,54
76,0.005143666832467919,2,55
111,0.005224701235760465,2,56
22,0.005627288314964507,2,57
102,0.005774704917065887,2,58
73,0.005946468656303439,2,59
17,0.005949557109792503,2,60
84,0.005953725106658592,2,61
44,0.006068444734782963,2,62
55,0.006361018681336983,2,63
26,0.006520283176736585,2,64
42,0.0066474770404949535,2,65
78,0.0067766043940463705,2,66
62,0.006981506757694045,2,67
95,0.007231243154166567,2,68
7,0.007377059174945244,2,69
25,0.007381504994551591,2,70
10,0.007481962945345422,2,71
88,0.007676821527967004,2,72
101,0.007752311833583492,2,73
114,0.00784153155186973,2,74
89,0.008137505827765512,2,75
33,0.008242546463654521,2,76
11,0.008718046579740846,2,77
40,0.008754241308804867,2,78
9,0.009857979655721438,2,79
106,0.010208079616690457,2,80
98,0.01069696635292472,2,81
6,0.011772909946381582,2,82
46,0.013385926289578798,2,83
38,0.01438625325892473,2,84
94,0.018574449854426134,2,85
3,0.03637389102761046,2,86
18,0.05019582810482337,2,87
112,0.09356155983933545,2,88
94,0.10640962069147353,3,1
98,0.12323696087135905,3,2
46,0.12631619151831164,3,3
6,0.12998336845042946,3,4
106,0.13032150480314586,3,5
33,0.13328867925134513,3,6
40,0.1335234249724746,3,7
101,0.13424683872937493,3,8
114,0.1352767427214253,3,9
25,0.13633594089034995,3,10
42,0.13639726706071997,3,11
2,0.1419944435624787,3,12
73,0.14486854611709432,3,13
84,0.14736417132635404,3,14
95,0.14763209309697012,3,15
44,0.14777207609321008,3,16
9,0.14779294941474508,3,17
7,0.1479174050351746,3,18
116,0.14812067043520438,3,19
55,0.14857486160914923,3,20
62,0.14932636434640234,3,21
48,0.15074946689998026,3,22
35,0.15147973672381176,3,23
11,0.15166853074487607,3,24
22,0.1524943143847045,3,25
96,0.15289278518476668,3,26
102,0.15526331994850728,3,27
89,0.1568380493623358,3,28
26,0.15779484024348112,3,29
29,0.15835929843994534,3,30
38,0.15870703961478905,3,31
97,0.15871181948987878,3,32
17,0.15918129484958543,3,33
87,0.15972183740930757,3,34
64,0.160094152632826,3,35
119,0.1607305308381417,3,36
83,0.16088993036949628,3,37
14,0.16134196323008465,3,38
10,0.161361129917991,3,39
63,0.16159596465935178,3,40
76,0.16245161502276295,3,41
88,0.16290301412812724,3,42
90,0.1635649132478444,3,43
0,0.16359555769126544,3,44
86,0.16369112156601562,3,45
79,0.16395165191426342,3,46
78,0.16429850042631244,3,47
23,0.1644804595364494,3,48
85,0.165052178795133,3,49
47,0.165120775542124,3,50
37,0.16530525149019792,3,51
77,0.16571628133219962,3,52
16,0.16600831065172927,3,53
120,0.16615235567287767,3,54
107,0.16621591588684903,3,55
27,0.1662806193454215,3,56
72,0.16631870631080214,3,57
75,0.1663198132747492,3,58
74,0.1664655798484429,3,59
19,0.16654338798594404,3,60
111,0.16660597171380687,3,61
82,0.16661996473089757,3,62
113,0.16670529655247435,3,63
56,0.16672679778216126,3,64
65,0.16689616782721362,3,65
69,0.1672622913759768,3,66
93,0.1678429178127604,3,67
80,0.1678875781931024,3,68
13,0.16848598781123492,3,69
117,0.16856144363138148,3,70
24,0.16868342780607803,3,71
31,0.16876456977258625,3,72
8,0.1689316502419287,3,73
41,0.1690583615846334,3,74
81,0.16912508851411634,3,75
34,0.16943487765332854,3,76
4,0.16960597286039203,3,77
110,0.17017769804066785,3,78
68,0.17036463428910809,3,79
45,0.17050613170843676,3,80
28,0.1707182398313163,3,81
12,0.17091522576182794,3,82
30,0.171072106325865,3,83
51,0.17198597385212488,3,84
1,0.174769468481358,3,85
5,0.17588751104648437,3,86
18,0.18578646419050693,3,87
112,0.21076515755665592,3,88
24,0.003959762424620927,4,1
75,0.004060988480760863,4,2
34,0.004063419045459815,4,3
28,0.004080236736895948,4,4
23,0.004082530696080444,4,5
51,0.004090418225360715,4,6
1,0.004090686586331271,4,7
68,0.004096731729430925,4,8
5,0.0040985665186400455,4,9
30,0.004105996707203907,4,10
110,0.004111959521005848,4,11
45,0.00411513696560295,4,12
16,0.004151766682318314,4,13
80,0.004156263347267375,4,14
12,0.00416587336660712,4,15
56,0.004175841409518544,4,16
41,0.004184175411939606,4,17
13,0.004208552270470012,4,18
90,0.004268118959727785,4,19
74,0.004269624657279758,4,20
37,0.004279432506427372,4,21
81,0.004283658978203153,4,22
120,0.004299029311392255,4,23
8,0.004318315400604789,4,24
69,0.004331358978262423,4,25
85,0.004338271791356152,4,26
31,0.004341030545281455,4,27
113,0.004343877071179225,4,28
86,0.004353811510544592,4,29
117,0.0043820774619800495,4,30
0,0.0043995603014966855,4,31
83,0.004426115756519744,4,32
72,0.004433735403841399,4,33
82,0.004433994419674403,4,34
14,0.004464013117435828,4,35
119,0.004484114732629441,4,36
93,0.004571006720761606,4,37
27,0.004599445652551992,4,38
77,0.004625900484500622,4,39
19,0.004639571899114903,4,40
107,0.004732410431246392,4,41
79,0.004744810864890092,4,42
65,0.0047456143402527795,4,43
87,0.004791218569101141,4,44
47,0.004814679760056673,4,45
63,0.004845189086561952,4,46
111,0.005148914427505535,4,47
29,0.005295012840420554,4,48
35,0.0053743978215307076,4,49
64,0.005588057953617831,4,50
48,0.005700276155911399,4,51
76,0.005805514717108329,4,52
97,0.005812388569488847,4,53
17,0.005951837623411116,4,54
96,0.006196978813967635,4,55
116,0.006330974821446289,4,56
26,0.006389907571808018,4,57
73,0.006418083539225239,4,58
22,0.006601031825783421,4,59
102,0.006881782818751736,4,60
84,0.006926399548403683,4,61
55,0.007070056535321223,4,62
78,0.007302718794908625,4,63
10,0.007339612183270616,4,64
42,0.0073813567826899185,4,65
88,0.007520082785223647,4,66
25,0.007757090862289262,4,67
7,0.007902656704325883,4,68
2,0.008099604828572304,4,69
44,0.008130263444310115,4,70
89,0.008181974810727688,4,71
95,0.008355708438492537,4,72
62,0.008599648127347925,4,73
11,0.00894328474120043,4,74
114,0.009233782650669431,4,75
101,0.009500368188605668,4,76
9,0.009918610862160171,4,77
106,0.010037645216097402,4,78
40,0.01023122067397797,4,79
33,0.010541653029899178,4,80
6,0.011732575831696956,4,81
98,0.013281320739737645,4,82
46,0.014944518106604687,4,83
38,0.015125478629674727,4,84
94,0.021610552302351205,4,85
3,0.03856745520254745,4,86
18,0.04960283953098521,4,87
112,0.0948693042516131,4,88
4,0.004029253703938918,5,1
1,0.004046951221540973,5,2
24,0.004081846501180819,5,3
51,0.004093274137214387,5,4
68,0.004095025192696666,5,5
28,0.004158259573833423,5,6
41,0.004180742195029841,5,7
34,0.0042015237148335105,5,8
12,0.004239916451820869,5,9
75,0.004246928270310146,5,10
80,0.00424770990791179,5,11
13,0.004249587784700082,5,12
110,0.004272122289144642,5,13
45,0.0042764636094048125,5,14
74,0.004282190802152641,5,15
30,0.004290784745674792,5,16
113,0.004331689583195741,5,17
16,0.004345031794289245,5,18
23,0.004364797857234759,5,19
117,0.004369191998406685,5,20
69,0.004379009149641178,5,21
31,0.004400799477747519,5,22
81,0.004402987966109384,5,23
56,0.004423527756489798,5,24
8,0.0044380202121435675,5,25
120,0.0044683243702779984,5,26
37,0.004489232389807474,5,27
82,0.0045069367045209585,5,28
72,0.004556617017839049,5,29
93,0.004577547407322302,5,30
90,0.00461911922608893,5,31
27,0.0046535328069149395,5,32
86,0.004655522039372362,5,33
19,0.004676103683151078,5,34
77,0.004700517930093628,5,35
107,0.004729740201834032,5,36
0,0.004785654162611674,5,37
79,0.004801588551145541,5,38
85,0.0048760241462662,5,39
83,0.004877418501207043,5,40
65,0.004889280085451531,5,41
14,0.004912242651053833,5,42
47,0.00495565419216748,5,43
119,0.004969585202506344,5,44
63,0.005014612595086287,5,45
87,0.005115504434386131,5,46
111,0.005414220024376637,5,47
29,0.005494723689546399,5,48
64,0.005900894714279681,5,49
35,0.005904261929923549,5,50
97,0.006110047796140772,5,51
76,0.006256622299246173,5,52
48,0.006354164260015227,5,53
17,0.006621176145724661,5,54
96,0.006624720670095008,5,55
116,0.006926610989391846,5,56
22,0.007300607701695716,5,57
26,0.007378548377274141,5,58
84,0.007402085857786456,5,59
102,0.007477827653761815,5,60
73,0.00754768663489358,5,61
78,0.007594045439504038,5,62
55,0.008095354053391901,5,63
10,0.008171816280823307,5,64
88,0.008248179596144989,5,65
44,0.008607446953419307,5,66
42,0.008626695007173057,5,67
2,0.008963062260942567,5,68
7,0.009051932933120233,5,69
62,0.009058595116410051,5,70
89,0.009128956831172541,5,71
95,0.009137676981799014,5,72
25,0.009267207224663676,5,73
11,0.009918083498668517,5,74
114,0.010537789662976915,5,75
101,0.010736768905496796,5,76
9,0.011015022802351226,5,77
40,0.011124435501644658,5,78
33,0.011387226077186785,5,79
106,0.01204111271563979,5,80
6,0.013738545162468752,5,81
98,0.01458370936376574,5,82
38,0.015582921831517771,5,83
46,0.01686406314688338,5,84
94,0.023740086686512396,5,85
3,0.041671938133985065,5,86
18,0.05020854561137056,5,87
112,0.09526177164430116,5,88
106,0.005756562660481301,6,1
7,0.006307896538260804,6,2
73,0.006393623346785393,6,3
25,0.006467756957722504,6,4
55,0.006510001100287766,6,5
89,0.0065811611543831194,6,6
101,0.006824372368427811,6,7
10,0.006880022820366927,6,8
88,0.0071533264106157235,6,9
26,0.007290975188318782,6,10
48,0.007357163031453728,6,11
9,0.007437091277239016,6,12
84,0.007530030657868725,6,13
114,0.00760198986281746,6,14
22,0.007777180494176084,6,15
87,0.007778302142826488,6,16
17,0.007797643354266803,6,17
119,0.008010423711656611,6,18
14,0.008027449771366602,6,19
111,0.008033910143129819,6,20
35,0.008101835085771114,6,21
116,0.008110379546712232,6,22
97,0.008366577452157187,6,23
42,0.00839425863428156,6,24
79,0.008443948875771268,6,25
83,0.008500231905234634,6,26
62,0.008562641103112001,6,27
85,0.008626032114557258,6,28
90,0.008628738911849787,6,29
76,0.008649717133320745,6,30
11,0.008709581088004459,6,31
0,0.008810604586574011,6,32
23,0.008922076652316036,6,33
65,0.00897782601538577,6,34
37,0.009005738787985273,6,35
102,0.009065175239888812,6,36
120,0.009107871091289854,6,37
86,0.009124395746887504,6,38
82,0.009129271015710594,6,39
63,0.0091307418435429,6,40
95,0.009144746683693694,6,41
64,0.009166572415030716,6,42
77,0.009171525695464644,6,43
96,0.009172899546158297,6,44
75,0.009332291746898536,6,45
56,0.009361921345970692,6,46
69,0.009374620643425202,6,47
113,0.009494608304104424,6,48
72,0.009552427490757798,6,49
44,0.009586015686692262,6,50
81,0.009615352265057608,6,51
45,0.009636846399821208,6,52
74,0.009687517493876863,6,53
93,0.009696078501299832,6,54
34,0.00976403387807312,6,55
29,0.009768923949027064,6,56
80,0.009781564517950536,6,57
28,0.009827276285262698,6,58
8,0.009827965969267716,6,59
12,0.009830793644998392,6,60
47,0.009837411047621591,6,61
16,0.009841772845579522,6,62
41,0.009867565296376446,6,63
27,0.009922702455060661,6,64
13,0.009975872729679591,6,65
24,0.010064291680003667,6,66
4,0.010104888237049026,6,67
33,0.010204843450275725,6,68
117,0.010223388734310612,6,69
40,0.010224027158341031,6,70
107,0.01028474104993704,6,71
110,0.010286922270991372,6,72
31,0.01032731275058163,6,73
78,0.010371199399557884,6,74
68,0.010377000931778735,6,75
30,0.010408779774154775,6,76
51,0.010505670908583231,6,77
19,0.010560741419902264,6,78
2,0.010821122592824639,6,79
46,0.0109441197464335,6,80
98,0.011112280185855972,6,81
5,0.011283945190825317,6,82
1,0.011287644173697209,6,83
38,0.014949816578063269,6,84
94,0.01716669674486815,6,85
3,0.024840420418873355,6,86
18,0.04741531648239039,6,87
112,0.09225275300193436,6,88
48,0.004577136360022549,7,1
26,0.005090015184714192,7,2
10,0.005195972099692692,7,3
89,0.005222139915501356,7,4
73,0.005267153445645434,7,5
87,0.005386641148258153,7,6
88,0.005409132259430405,7,7
14,0.00555042428360486,7,8
119,0.005559587738417915,7,9
23,0.005639008392156364,7,10
84,0.0056543531599698715,7,11
35,0.0057370070130888795,7,12
83,0.005756529479737704,7,13
79,0.0058182874996096645,7,14
116,0.005835759180253364,7,15
63,0.005845249925694684,7,16
82,0.005858924697682344,7,17
65,0.005860579177967118,7,18
6,0.005907721363050067,7,19
113,0.005916858965428373,7,20
120,0.005926322770411496,7,21
85,0.005948006646146697,7,22
86,0.006000378310873411,7,23
55,0.006010693860933669,7,24
25,0.006030994170441173,7,25
90,0.006033028554056408,7,26
0,0.006042783623362191,7,27
64,0.0060612231407845,7,28
106,0.0060680167594812096,7,29
101,0.006068374582220648,7,30
11,0.006104331711868083,7,31
111,0.006112870722384645,7,32
69,0.006123623391935729,7,33
74,0.006168440250960527,7,34
75,0.006170106250512064,7,35
97,0.006196533889383238,7,36
72,0.006213037525052978,7,37
102,0.006221819923850069,7,38
16,0.006225967224287476,7,39
80,0.006234692778201878,7,40
76,0.006237278622289288,7,41
47,0.006251703772802375,7,42
77,0.006260962203765041,7,43
56,0.006266022546017491,7,44
81,0.006279097828988611,7,45
28,0.006282523756577563,7,46
17,0.006320370271429732,7,47
37,0.006386771737161068,7,48
22,0.006391853258136626,7,49
24,0.006413482466799625,7,50
34,0.006418340367341568,7,51
117,0.006438041409759898,7,52
44,0.006445437219854688,7,53
8,0.006475977652329656,7,54
29,0.006498543150442626,7,55
107,0.006503875888583033,7,56
45,0.00651223536799217,7,57
93,0.006524636060717515,7,58
13,0.006541415079333479,7,59
42,0.006581407163611663,7,60
41,0.00658595711990706,7,61
4,0.006599802877038208,7,62
12,0.006634642891979348,7,63
110,0.006705321576978784,7,64
19,0.006715653971130053,7,65
31,0.006718441787056606,7,66
96,0.00673637552979367,7,67
27,0.006739624904017472,7,68
30,0.00680383750749769,7,69
68,0.006842869984317046,7,70
51,0.006849655073115968,7,71
114,0.0068513472703710665,7,72
95,0.007124920425725434,7,73
62,0.007252912798280331,7,74
1,0.0073133180070960035,7,75
5,0.007652599166576901,7,76
78,0.007661255527406374,7,77
9,0.007764747180997622,7,78
2,0.007777815830253498,7,79
40,0.008163700143586805,7,80
33,0.008266550463877032,7,81
98,0.009093664356566333,7,82
46,0.011074970153272967,7,83
38,0.012904567341895268,7,84
94,0.01589663570501687,7,85
3,0.027366134873770487,7,86
18,0.049093521634990034,7,87
112,0.09141940580041286,7,88
82,0.003822081236931618,8,1
69,0.003856317438525325,8,2
120,0.0038778823334713053,8,3
68,0.0038908018135094258,8,4
72,0.003892545491151589,8,5
24,0.0038992794906832495,8,6
113,0.003908001946551609,8,7
75,0.003919873515426331,8,8
1,0.003931902988163372,8,9
4,0.003933343840069825,8,10
74,0.003946301224702631,8,11
13,0.003956650645063231,8,12
110,0.003988520970757636,8,13
117,0.003993166287649674,8,14
51,0.003998533056317699,8,15
45,0.004003731509908404,8,16
80,0.0040066516373366,8,17
28,0.004007095794444915,8,18
81,0.004009813690456943,8,19
23,0.004021785221621332,8,20
41,0.00402921028079406,8,21
30,0.004039879398341717,8,22
16,0.004049344780780673,8,23
31,0.004051321461109092,8,24
34,0.004120659033132412,8,25
90,0.004140730635570744,8,26
5,0.004142270107868384,8,27
93,0.004152127860929666,8,28
77,0.004167108140971987,8,29
0,0.004170942019838364,8,30
65,0.004178282767349439,8,31
27,0.004188379705098333,8,32
12,0.0041991438708077755,8,33
86,0.004219131492532946,8,34
107,0.004225973007249362,8,35
19,0.004240395309162537,8,36
37,0.004248589383943013,8,37
83,0.004292289831489993,8,38
63,0.004302243879056311,8,39
79,0.004310770609795789,8,40
56,0.004331338492309045,8,41
119,0.004370670861878478,8,42
85,0.0043934041857046635,8,43
47,0.00440904196464853,8,44
87,0.004425645839426728,8,45
14,0.004441027284970311,8,46
111,0.004814349568821874,8,47
29,0.00487285892899092,8,48
76,0.00503405642417043,8,49
35,0.0051078099025827495,8,50
64,0.005121770912732804,8,51
97,0.005246491104583861,8,52
48,0.005514578644606027,8,53
17,0.0056122381750219885,8,54
116,0.005844451562669883,8,55
96,0.0059007613535961845,8,56
73,0.006175795293490549,8,57
102,0.006263661242372431,8,58
22,0.006280710415614843,8,59
84,0.0063306119720693,8,60
26,0.006399979415701584,8,61
10,0.006637549830113443,8,62
78,0.006703644636914974,8,63
55,0.00676988760156827,8,64
88,0.0067989244690550565,8,65
44,0.007010849948774878,8,66
7,0.007511652777104194,8,67
95,0.0075858898818786935,8,68
89,0.007603699595414848,8,69
62,0.007604139055745307,8,70
42,0.007638389563665915,8,71
2,0.007765603960909084,8,72
25,0.008056255990394612,8,73
11,0.008493104032863408,8,74
114,0.008711269962895174,8,75
101,0.00885612735829977,8,76
33,0.00981786505218063,8,77
40,0.009853043305464437,8,78
9,0.009957779567175584,8,79
106,0.010275582283777673,8,80
6,0.011424049604252029,8,81
98,0.012618848569122099,8,82
38,0.013823302833749995,8,83
46,0.01458682653464849,8,84
94,0.02081566935270096,8,85
3,0.037988513226417164,8,86
18,0.04928752368070943,8,87
112,0.0934574501437545,8,88
78,0.005843335738855204,9,1
76,0.006373577117783635,9,2
17,0.0064165480499627225,9,3
87,0.006441078831114222,9,4
14,0.006447996488343599,9,5
73,0.006473744675348336,9,6
48,0.00654282793389227,9,7
26,0.006602468884333246,9,8
111,0.00682521893967325,9,9
119,0.006860096575799446,9,10
0,0.0069357062978105954,9,11
85,0.00693923139491337,9,12
12,0.0069509218172240095,9,13
83,0.0070069626217832415,9,14
75,0.0070093418733888635,9,15
10,0.007040894695485966,9,16
28,0.007043790923884408,9,17
11,0.007062303560766758,9,18
56,0.007069482596282817,9,19
86,0.00714666792391494,9,20
23,0.00718860597831783,9,21
16,0.0072067533599308176,9,22
45,0.007303732197069479,9,23
34,0.007309412887044009,9,24
81,0.0073296946493055515,9,25
90,0.007330198891369766,9,26
88,0.007333486092052088,9,27
113,0.007368809457849901,9,28
120,0.007375405749600494,9,29
89,0.007385031265237818,9,30
65,0.007418561264912804,9,31
63,0.0074231244604795465,9,32
7,0.007459631993534055,9,33
64,0.007478624415949375,9,34
55,0.007488521725768416,9,35
72,0.0074939890543440635,9,36
8,0.0075921991422834845,9,37
69,0.007610326248669308,9,38
116,0.007638077277503652,9,39
79,0.007651292004888344,9,40
30,0.007662199723671659,9,41
82,0.007678273384756462,9,42
24,0.007679428515446229,9,43
47,0.0077055317285711356,9,44
74,0.007713318894805421,9,45
37,0.007715894936416334,9,46
4,0.007716168449632521,9,47
101,0.007751708446536609,9,48
106,0.007764972134178594,9,49
68,0.007781413277008431,9,50
35,0.0077851149967366196,9,51
117,0.007796065877551661,9,52
84,0.007812311013783546,9,53
80,0.007830057778388522,9,54
102,0.007842539138087634,9,55
51,0.00791455001909358,9,56
13,0.007917221048851841,9,57
95,0.007965356262909506,9,58
25,0.007971872544844993,9,59
110,0.007979468984519067,9,60
93,0.00799147966014968,9,61
77,0.007993547956793412,9,62
41,0.008072041250748563,9,63
42,0.008076030600644546,9,64
31,0.008107476759266152,9,65
19,0.00811401951113433,9,66
1,0.008147335719760451,9,67
27,0.008196152122718736,9,68
114,0.00833951692042234,9,69
107,0.008340323714232323,9,70
5,0.008370391364042273,9,71
97,0.00843403377857932,9,72
29,0.008613598410140977,9,73
22,0.008721119186578474,9,74
6,0.008794726062095637,9,75
38,0.00882797700861404,9,76
96,0.008914260144290309,9,77
44,0.009122245158998843,9,78
2,0.009700554688565344,9,79
62,0.010029810241265036,9,80
33,0.010265677140845919,9,81
40,0.010588833169548506,9,82
98,0.012207487190881827,9,83
46,0.014088005807644577,9,84
94,0.019058325885219607,9,85
18,0.03409551768618613,9,86
3,0.03557064791673126,9,87
112,0.07658329622067117,9,88
26,0.004177757626423695,10,1
88,0.004287018181484359,10,2
89,0.004395392650115237,10,3
7,0.005312733036911155,10,4
11,0.005464476757169878,10,5
48,0.006125110902110431,10,6
87,0.006336545246559466,10,7
14,0.006588262646478937,10,8
17,0.006699615286177463,10,9
85,0.006780941728492862,10,10
23,0.006813764682403023,10,11
12,0.006872277064059018,10,12
111,0.006885047806043043,10,13
56,0.006896629052396852,10,14
28,0.006941854978564366,10,15
64,0.00695294485872322,10,16
82,0.006976513189915101,10,17
75,0.007022763839710011,10,18
76,0.00704442357016688,10,19
34,0.007062658146598344,10,20
73,0.007111969128752005,10,21
30,0.007129208150514099,10,22
102,0.007131037010307484,10,23
65,0.007192909129153491,10,24
45,0.007225107745769899,10,25
24,0.007234327294273313,10,26
16,0.00723813933846551,10,27
8,0.007240235065520628,10,28
113,0.007247568835486051,10,29
86,0.0072548453099280374,10,30
120,0.007268799942881654,10,31
83,0.007279613192987977,10,32
80,0.007281670116772498,10,33
90,0.0072817187990675825,10,34
4,0.00731778421351903,10,35
119,0.0073368817396839425,10,36
72,0.007394981547809598,10,37
106,0.007404304685105778,10,38
0,0.007445606649965075,10,39
63,0.0074565982676610965,10,40
69,0.007494891760787992,10,41
47,0.007566719840910396,10,42
74,0.007579245712038718,10,43
81,0.007579469157739771,10,44
95,0.007604876420712947,10,45
